date,rainfall_mm,temp_c
2019-08-13,3.72,24.38
2019-08-14,0.66,24.57
2019-08-15,0.46,24.31
2019-08-16,0.82,24.2
2019-08-17,1.73,24.42
2019-08-18,1.44,24.1
2019-08-19,9.73,23.39
2019-08-20,4.08,24.24
2019-08-21,5.55,24.21
2019-08-22,12.37,23.91
2019-08-23,14.0,23.78
2019-08-24,1.59,23.78
2019-08-25,1.44,23.71
2019-08-26,2.83,24.06
2019-08-27,3.23,24.13
2019-08-28,6.23,23.26
2019-08-29,3.57,24.66
2019-08-30,3.97,24.35
2019-08-31,11.53,25.09
2019-09-01,62.06,23.65
2019-09-02,7.74,24.44
2019-09-03,2.9,25.41
2019-09-04,19.88,24.27
2019-09-05,8.95,24.75
2019-09-06,6.61,23.75
2019-09-07,4.2,24.14
2019-09-08,4.08,24.34
2019-09-09,11.12,24.39
2019-09-10,9.19,24.72
2019-09-11,17.81,23.78
2019-09-12,3.24,24.29
2019-09-13,5.34,24.2
2019-09-14,6.28,24.56
2019-09-15,15.84,24.28
2019-09-16,15.95,24.97
2019-09-17,23.53,24.67
2019-09-18,30.63,24.82
2019-09-19,14.22,24.6
2019-09-20,13.2,25.18
2019-09-21,4.64,25.13
2019-09-22,8.2,24.68
2019-09-23,6.25,24.95
2019-09-24,4.42,24.79
2019-09-25,8.87,24.65
2019-09-26,8.08,24.62
2019-09-27,76.86,23.84
